symbol_scope,method_a,method_b,n_rows,nmi,ari,same_label_pct
ALL,contrastive,contrastive,34754,1.0,1.0,1.0
ALL,contrastive,contrastive_hmm,34754,0.560032221939073,0.5760967942390213,0.01749438913506359
ALL,contrastive,hmm,34754,0.03183523094020017,0.022551105593979274,0.2915923346952869
ALL,contrastive,kmeans,34754,0.020846630889761995,0.018486782395557434,0.19033780284283824
ALL,contrastive,vol_bucket,34754,0.002963143450213283,0.0026029524703809945,0.2492662715083156
ALL,contrastive_hmm,contrastive,34754,0.560032221939073,0.5760967942390213,0.01749438913506359
ALL,contrastive_hmm,contrastive_hmm,34754,1.0,1.0,1.0
ALL,contrastive_hmm,hmm,34754,0.019925584259108616,0.015304626017693432,0.22480865511883524
ALL,contrastive_hmm,kmeans,34754,0.015450203360335635,0.014948233917080469,0.29110318236749727
ALL,contrastive_hmm,vol_bucket,34754,0.004591187861227357,0.004089144671960129,0.25159693848190134
ALL,hmm,contrastive,34754,0.03183523094020017,0.022551105593979274,0.2915923346952869
ALL,hmm,contrastive_hmm,34754,0.019925584259108616,0.015304626017693432,0.22480865511883524
ALL,hmm,hmm,34754,1.0,1.0,1.0
ALL,hmm,kmeans,34754,0.1820245889866579,0.13932578879955024,0.11998618864015653
ALL,hmm,vol_bucket,34754,0.3328720193311734,0.2536246247006942,0.07193416585141278
ALL,kmeans,contrastive,34754,0.020846630889761995,0.018486782395557434,0.19033780284283824
ALL,kmeans,contrastive_hmm,34754,0.015450203360335635,0.014948233917080469,0.29110318236749727
ALL,kmeans,hmm,34754,0.1820245889866579,0.13932578879955024,0.11998618864015653
ALL,kmeans,kmeans,34754,1.0,1.0,1.0
ALL,kmeans,vol_bucket,34754,0.08930930210355174,0.05668236567454936,0.22503884444955977
ALL,vol_bucket,contrastive,34754,0.002963143450213283,0.0026029524703809945,0.2492662715083156
ALL,vol_bucket,contrastive_hmm,34754,0.004591187861227357,0.004089144671960129,0.25159693848190134
ALL,vol_bucket,hmm,34754,0.3328720193311734,0.2536246247006942,0.07193416585141278
ALL,vol_bucket,kmeans,34754,0.08930930210355174,0.05668236567454936,0.22503884444955977
ALL,vol_bucket,vol_bucket,34754,1.0,1.0,1.0
BTCUSDT,contrastive,contrastive,17377,1.0,1.0,1.0
BTCUSDT,contrastive,contrastive_hmm,17377,0.45829422510937445,0.583090413849055,0.01996892444035219
BTCUSDT,contrastive,hmm,17377,0.014805205837056115,0.0021382087962036737,0.3599585659204696
BTCUSDT,contrastive,kmeans,17377,0.02853127736222602,0.027710173210620054,0.0624388559590263
BTCUSDT,contrastive,vol_bucket,17377,0.013784815734992916,0.005773934357971521,0.24060539793980548
BTCUSDT,contrastive_hmm,contrastive,17377,0.4582942251093745,0.583090413849055,0.01996892444035219
BTCUSDT,contrastive_hmm,contrastive_hmm,17377,1.0,1.0,1.0
BTCUSDT,contrastive_hmm,hmm,17377,0.00948200824657256,0.0013132190512328004,0.13794095643666915
BTCUSDT,contrastive_hmm,kmeans,17377,0.019119347571177003,0.017760564469991788,0.4682626460263567
BTCUSDT,contrastive_hmm,vol_bucket,17377,0.010493156035255293,0.006724911451983249,0.2867008114173908
BTCUSDT,hmm,contrastive,17377,0.014805205837056117,0.0021382087962036737,0.3599585659204696
BTCUSDT,hmm,contrastive_hmm,17377,0.009482008246572561,0.0013132190512328004,0.13794095643666915
BTCUSDT,hmm,hmm,17377,1.0,1.0,1.0
BTCUSDT,hmm,kmeans,17377,0.15241302281479585,0.130004366211075,0.10076537952465903
BTCUSDT,hmm,vol_bucket,17377,0.4139803836122183,0.32360366528492446,0.06497093859699603
BTCUSDT,kmeans,contrastive,17377,0.02853127736222602,0.027710173210620054,0.0624388559590263
BTCUSDT,kmeans,contrastive_hmm,17377,0.019119347571177007,0.017760564469991788,0.4682626460263567
BTCUSDT,kmeans,hmm,17377,0.15241302281479585,0.130004366211075,0.10076537952465903
BTCUSDT,kmeans,kmeans,17377,1.0,1.0,1.0
BTCUSDT,kmeans,vol_bucket,17377,0.07627771701703365,0.03810680165857505,0.23951199861886402
BTCUSDT,vol_bucket,contrastive,17377,0.013784815734992916,0.005773934357971521,0.24060539793980548
BTCUSDT,vol_bucket,contrastive_hmm,17377,0.010493156035255293,0.006724911451983249,0.2867008114173908
BTCUSDT,vol_bucket,hmm,17377,0.4139803836122184,0.32360366528492446,0.06497093859699603
BTCUSDT,vol_bucket,kmeans,17377,0.07627771701703365,0.03810680165857505,0.23951199861886402
BTCUSDT,vol_bucket,vol_bucket,17377,1.0,1.0,1.0
ETHUSDT,contrastive,contrastive,17377,1.0,1.0,1.0
ETHUSDT,contrastive,contrastive_hmm,17377,0.3951244325583954,0.4670688426156946,0.01501985382977499
ETHUSDT,contrastive,hmm,17377,0.005270018760013684,0.0007532322609025568,0.22322610347010416
ETHUSDT,contrastive,kmeans,17377,0.01821747902728687,0.019227608760312622,0.31823674972665017
ETHUSDT,contrastive,vol_bucket,17377,0.004449221210700517,0.0024774013166174572,0.2579271450768257
ETHUSDT,contrastive_hmm,contrastive,17377,0.3951244325583954,0.4670688426156946,0.01501985382977499
ETHUSDT,contrastive_hmm,contrastive_hmm,17377,1.0,1.0,1.0
ETHUSDT,contrastive_hmm,hmm,17377,0.02128781809263702,0.00638341919415132,0.31167635380100134
ETHUSDT,contrastive_hmm,kmeans,17377,0.03812055400342815,0.038437593955204,0.11394371870863786
ETHUSDT,contrastive_hmm,vol_bucket,17377,0.01915200745839537,0.009178880385182171,0.21649306554641193
ETHUSDT,hmm,contrastive,17377,0.005270018760013684,0.0007532322609025568,0.22322610347010416
ETHUSDT,hmm,contrastive_hmm,17377,0.02128781809263702,0.00638341919415132,0.31167635380100134
ETHUSDT,hmm,hmm,17377,1.0,1.0,1.0
ETHUSDT,hmm,kmeans,17377,0.1865541489296641,0.13851520547474522,0.13920699775565404
ETHUSDT,hmm,vol_bucket,17377,0.4219868317867368,0.325644148733101,0.07889739310582955
ETHUSDT,kmeans,contrastive,17377,0.01821747902728687,0.019227608760312622,0.31823674972665017
ETHUSDT,kmeans,contrastive_hmm,17377,0.03812055400342815,0.038437593955204,0.11394371870863786
ETHUSDT,kmeans,hmm,17377,0.18655414892966413,0.13851520547474522,0.13920699775565404
ETHUSDT,kmeans,kmeans,17377,1.0,1.0,1.0
ETHUSDT,kmeans,vol_bucket,17377,0.11463586796417208,0.08233384995292727,0.2105656902802555
ETHUSDT,vol_bucket,contrastive,17377,0.004449221210700517,0.0024774013166174572,0.2579271450768257
ETHUSDT,vol_bucket,contrastive_hmm,17377,0.01915200745839537,0.009178880385182171,0.21649306554641193
ETHUSDT,vol_bucket,hmm,17377,0.42198683178673674,0.325644148733101,0.07889739310582955
ETHUSDT,vol_bucket,kmeans,17377,0.11463586796417208,0.08233384995292727,0.2105656902802555
ETHUSDT,vol_bucket,vol_bucket,17377,1.0,1.0,1.0
